Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l_finger_link,2.77555756156289E-17,0.00132088979337613,4.48666595760372E-05,0,0,0,0.00061746790316696,1.54611618322015E-08,-1.80946767853971E-25,5.8003269899531E-27,2.97006172473206E-08,4.83671538581666E-10,1.54775907018748E-08,0,0,0,0,0,0,package://doozy_bot/meshes/l_finger_link.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_finger_link.STL,,horn.catpart-1,Coordinate System9lhfig,Axis_l_finger_joint,l_finger_joint,revolute,-0.009994,-0.043298,-0.086808,0,0,0,l_wrist_link,0,0.99942,0.033947,0,0,0,0,,,,,,,,
r_hand_link,0.00103419479642466,0.0362948829265535,4.44089209850063E-16,0,0,0,0.114916853451242,0.000370913676348123,3.78313936258588E-06,2.23775516752745E-19,6.67653118802989E-05,1.33831205666179E-19,0.000338554023220421,0,0,0,0,0,0,package://doozy_bot/meshes/r_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_hand_link.STL,,shoulder structure.catpart-1,Coordinate System10rh,Axis_r_hand_joint,r_hand_joint,revolute,-0.002,-0.15231,0.29196,0,0,0,upperstructure_link,0,1,0,0,0,0,0,,,,,,,,
r_shoulder_link,0.00854141894586105,0.00364447848035132,-0.101226195869641,0,0,0,0.0280221823539668,6.06503815149694E-05,1.42499799388307E-09,4.61272799354756E-11,5.99925442940016E-05,1.86605572174193E-06,5.11861033373156E-06,0,0,0,0,0,0,package://doozy_bot/meshes/r_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_shoulder_link.STL,,upper hand mirror.stp-2,Coordinate System11rhsh,Axis_r_shoulder_joint,r_shoulder_joint,revolute,-0.018544,-0.044,0,0,0,0,r_hand_link,1,0,0,0,0,0,0,,,,,,,,
r_elbow_link,4.39855432440017E-05,0.000282843607480099,-0.0284674627359862,0,0,0,0.0708345172477184,5.5236459553885E-05,8.40398447814937E-08,4.73853688145138E-08,8.63376374418204E-05,5.61799666696872E-06,5.87181164047261E-05,0,0,0,0,0,0,package://doozy_bot/meshes/r_elbow_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_elbow_link.STL,,elbow.stp-1,Coordinate System12rhua,Axis_r_elbow_joint,r_elbow_joint,revolute,0.0083874,0.0070328,-0.17269,0,0,0,r_shoulder_link,0,0.033947,-0.99942,0,0,0,0,,,,,,,,
r_forarm_link,-0.000241803181302763,0.031852894128237,-0.0660398486436837,0,0,0,0.0343679873488544,3.07996579824156E-05,-9.01142408758124E-09,2.38187854664461E-07,3.35815643914489E-05,9.33373715971777E-07,8.65852488092457E-06,0,0,0,0,0,0,package://doozy_bot/meshes/r_forarm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_forarm_link.STL,,FOREARM.stp-2,Coordinate System13rhel,Axis_r_forarm_joint,r_forarm_joint,revolute,0.00011257,-0.02996,-0.036038,0,0,0,r_elbow_link,0,0.99942,0.033947,0,0,0,0,,,,,,,,
r_wrist_link,0.0046435573430868,0.00206611468602114,-0.0624558053069965,0,0,0,0.0878211831020795,0.000168921592259933,8.32338951662842E-07,1.32269795624382E-05,0.000211253989672042,2.69331722434322E-07,6.89712485001636E-05,0,0,0,0,0,0,package://doozy_bot/meshes/r_wrist_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_wrist_link.STL,,Wrist-arm-integrated mirror.stp-1,Coordinate System14rh wr,Axis_r_wrist_joint,r_wrist_joint,revolute,0.0011858,0.03351,-0.11092,0,0,0,r_forarm_link,0.010747,0.033945,-0.99937,0,0,0,0,,,,,,,,
r_finger_link,0,-0.00132088979337608,-4.48666595760372E-05,0,0,0,0.000617467903166957,1.54611618322015E-08,-7.90122920897465E-25,-3.83381436684898E-26,2.97006172473206E-08,4.83671538581563E-10,1.54775907018748E-08,0,0,0,0,0,0,package://doozy_bot/meshes/r_finger_link.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_finger_link.STL,,horn.catpart-2,Coordinate System15rhfig,,r_finger_joint,revolute,0.0085537,0.043536,-0.090776,0,0,0,r_wrist_link,0,0,0,0,0,0,0,,,,,,,,
neckro_link,-0.000100819305809713,4.81158455832298E-05,0.0199371835605915,0,0,0,0.0145537829788612,1.54233511847542E-05,-3.38463069800254E-07,-3.38065120829672E-08,9.16786919787863E-06,-2.68813926800935E-08,9.47045886490237E-06,0,0,0,0,0,0,package://doozy_bot/meshes/neckro_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/neckro_link.STL,,neck 1.stp-1,Coordinate System16nero,Axis_neckro_joint,neckro_joint,revolute,-0.002,-0.0023084,0.40096,0,0,0,upperstructure_link,0,0,1,0,0,0,0,,,,,,,,
neckupdn_link,-0.00606431262985568,-0.027703659863342,0.0395270869119519,0,0,0,0.0234428419773424,2.08647141709084E-05,-5.49956339024811E-07,3.53843689606319E-07,1.10986009831225E-05,-1.98631086510505E-08,1.43715502195595E-05,0,0,0,0,0,0,package://doozy_bot/meshes/neckupdn_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/neckupdn_link.STL,,neck 2.stp-1;neck 3.stp-1,Coordinate System17neud,Axis_neckupdn_joint,neckupdn_joint,revolute,0.0015693,0.027956,0.054,0,0,0,neckro_link,0.056047,0.99843,0,0,0,0,0,,,,,,,,
necktilt_link,0.00466458623502139,-0.000780202193016111,0.0152440777373635,0,0,0,0.00551601758227204,1.30456325198239E-06,1.51173071236332E-08,-3.81885711171832E-07,1.34042672590411E-06,3.85073973669066E-08,8.40793587060435E-07,0,0,0,0,0,0,package://doozy_bot/meshes/necktilt_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/necktilt_link.STL,,neck 4.stp-1,Coordinate System18netilt,Axis_necktilt_joint,necktilt_joint,revolute,-0.022445,-0.026784,0.095626,0,0,0,neckupdn_link,0.99843,-0.056047,-0.00095235,0,0,0,0,,,,,,,,
